Column,Group,DType,NonNullCount,NullCount,Example
NetBuySellForeign_shares_1d,flows,float64,30,2,-1000800.0
NetBuySellForeign_kVND_1d,flows,float64,30,2,-22683075.0
NetBuySellForeign_shares_5d,flows,float64,30,2,1586800.0
NetBuySellForeign_kVND_5d,flows,float64,30,2,35923325.0
NetBuySellForeign_shares_20d,flows,float64,30,2,-1248800.0
NetBuySellForeign_kVND_20d,flows,float64,30,2,-28241120.0
ProprietaryFlowDate,flows,str,30,2,2026-07-10
NetBuySellProprietary_shares_1d,flows,float64,30,2,-872100.0
NetBuySellProprietary_kVND_1d,flows,float64,30,2,-19715315.0
NetBuySellProprietary_shares_5d,flows,float64,30,2,21818465.0
NetBuySellProprietary_kVND_5d,flows,float64,30,2,-27667085.0
NetBuySellProprietary_shares_20d,flows,float64,30,2,37839397.0
NetBuySellProprietary_kVND_20d,flows,float64,30,2,-127699233.0
